log_type,column_name,missing_count,missing_rate_pct,classification
apu_stat_10s,pl1_kw,0,0.0,None (0%)
apu_stat_10s,pl2_kw,0,0.0,None (0%)
apu_stat_10s,pl3_kw,0,0.0,None (0%)
apu_stat_10s,ql1_kvar,0,0.0,None (0%)
apu_stat_10s,ql2_kvar,0,0.0,None (0%)
apu_stat_10s,ql3_kvar,0,0.0,None (0%)
apu_stat_10s,vdc_v,0,0.0,None (0%)
apu_stat_10s,idc_a,0,0.0,None (0%)
apu_stat_10s,pdc_kw,0,0.0,None (0%)
apu_stat_10s,is_sensor_fault,0,0.0,None (0%)
apu_stat_60s,log_type,0,0.0,None (0%)
apu_stat_60s,system,0,0.0,None (0%)
apu_stat_60s,timestamp,0,0.0,None (0%)
apu_stat_60s,tind_c,0,0.0,None (0%)
apu_stat_60s,tl1_c,0,0.0,None (0%)
apu_stat_60s,tl2_c,0,0.0,None (0%)
apu_stat_60s,tl3_c,0,0.0,None (0%)
apu_stat_60s,tp_cb_c,0,0.0,None (0%)
apu_stat_60s,hum_pct_rh,0,0.0,None (0%)
apu_stat_60s,is_sensor_fault,0,0.0,None (0%)
apu_stat_trig,log_type,0,0.0,None (0%)
apu_stat_trig,system,0,0.0,None (0%)
apu_stat_trig,timestamp,0,0.0,None (0%)
apu_stat_trig,milliseconds_ms,0,0.0,None (0%)
apu_stat_trig,opstate,0,0.0,None (0%)
apu_stat_trig,pl1lim_kw,0,0.0,None (0%)
apu_stat_trig,pl2lim_kw,0,0.0,None (0%)
apu_stat_trig,pl3lim_kw,0,0.0,None (0%)
apu_stat_trig,ql1lim_kvar,0,0.0,None (0%)
apu_stat_trig,ql2lim_kvar,0,0.0,None (0%)
apu_stat_trig,ql3lim_kvar,0,0.0,None (0%)
apu_stat_trig,vdcmaxlim_v,0,0.0,None (0%)
apu_stat_trig,vdcminlim_v,0,0.0,None (0%)
apu_stat_trig,idcmaxlim_a,0,0.0,None (0%)
apu_stat_trig,idcminlim_a,0,0.0,None (0%)
apu_stat_trig,error1,0,0.0,None (0%)
apu_stat_trig,error2,0,0.0,None (0%)
apu_stat_trig,error3,0,0.0,None (0%)
apu_stat_trig,error4,0,0.0,None (0%)
apu_stat_trig,error5,0,0.0,None (0%)
apu_stat_trig,error6,0,0.0,None (0%)
apu_stat_trig,error7,0,0.0,None (0%)
